ID,Name,DIESEL,DEF
73615,tapetro,5.259,4.299
73605,tapetro,5.099,4.259
73600,tapetro,5.399,4.179
73590,tapetro,4.599,4.199
73588,tapetro,4.959,4.199
73580,tapetro,5.159,4.299
73578,tapetro,4.899,4.219
73566,tapetro,5.559,4.399
73550,tapetro,5.399,4.169
73548,tapetro,4.699,4.099
73546,tapetro,4.799,4.239
73542,tapetro,5.159,4.219
73540,tapetro,4.859,4.219
73534,tapetro,5.099,4.369
73520,tapetro,4.859,4.329
73516,tapetro,5.210,4.269
73510,tapetro,5.299,4.119
73508,tapetro,5.279,3.999
73500,tapetro,5.299,4.099
73498,tapetro,4.899,4.399
73494,tapetro,4.699,4.099
73492,tapetro,6.299,4.199
73490,tapetro,4.249,4.499
73486,tapetro,5.459,4.219
73483,tapetro,5.659,4.459
73481,tapetro,6.199,4.199
73479,tapetro,4.959,4.279
73477,tapetro,4.799,4.339
73475,tapetro,5.099,4.299
73471,tapetro,5.219,4.269
73467,tapetro,5.399,4.199
73461,tapetro,4.699,4.199
73458,tapetro,5.399,4.199
73456,tapetro,5.259,4.599
73454,tapetro,4.999,4.259
73452,tapetro,6.299,3.999
73448,tapetro,4.499,4.299
73440,tapetro,5.599,4.459
73438,tapetro,5.599,4.319
73424,tapetro,5.099,4.159
73417,tapetro,4.799,4.259
73413,tapetro,5.299,4.119
73403,tapetro,4.779,4.299
73401,tapetro,5.399,4.179
73383,tapetro,5.299,4.119
73381,tapetro,4.759,4.219
73379,tapetro,4.659,4.359
73377,tapetro,4.659,4.199
73375,tapetro,4.959,4.299
73369,tapetro,4.299,3.899
73359,tapetro,5.099,4.119
73339,tapetro,5.299,4.119
73337,tapetro,5.099,4.219
73333,tapetro,6.299,3.999
73331,tapetro,5.299,4.299
73327,tapetro,5.559,4.599
73322,tapetro,4.659,4.359
73316,tapetro,4.999,4.399
73312,tapetro,4.999,4.239
73306,tapetro,4.699,4.179
73304,tapetro,4.899,4.299
73302,tapetro,5.299,4.119
73294,tapetro,5.399,4.099
73284,tapetro,4.749,3.599
73282,tapetro,4.599,4.329
73276,tapetro,5.159,4.399
73259,tapetro,4.899,4.219
73245,tapetro,5.199,4.299
73243,tapetro,4.899,4.269
73231,tapetro,4.899,3.999
73227,tapetro,4.999,4.299
73221,tapetro,5.499,4.159
73215,tapetro,5.159,4.259
73192,tapetro,5.499,4.449
73183,tapetro,5.499,4.219
73179,tapetro,4.999,4.199
73177,tapetro,4.999,4.369
73174,tapetro,5.359,4.199
73172,tapetro,4.729,4.299
73162,tapetro,4.699,4.179
73158,tapetro,5.159,4.269
73131,tapetro,4.749,3.599
73129,tapetro,5.499,4.219
73127,tapetro,5.199,4.179
73123,tapetro,5.099,4.319
73121,tapetro,5.159,4.319
73110,tapetro,4.649,4.259
73108,tapetro,4.649,4.769
73105,tapetro,5.059,4.099
73103,tapetro,5.359,4.199
73101,tapetro,6.399,4.199
73097,tapetro,5.079,4.369
73095,tapetro,5.079,4.099
76552,loves,4.889,3.989
76550,loves,5.249,4.089
76548,loves,5.189,3.989
76546,loves,5.389,4.089
76544,loves,4.789,4.089
76540,loves,4.789,4.189
76534,loves,4.989,4.089
76528,loves,4.889,4.289
76526,loves,5.349,4.149
76524,loves,4.849,4.089
76518,loves,4.889,4.089
76514,loves,4.749,4.089
76510,loves,5.089,4.349
76504,loves,5.149,4.249
76502,loves,4.649,4.289
76498,loves,4.859,4.289
76494,loves,5.149,3.989
76488,loves,4.749,4.289
76484,loves,5.289,4.389
76474,loves,4.849,4.089
76468,loves,4.689,4.089
76462,loves,4.989,4.149
76456,loves,4.849,4.259
76452,loves,4.989,4.149
76450,loves,4.949,3.989
76448,loves,5.089,4.249
76446,loves,4.889,4.149
76444,loves,6.189,4.289
76438,loves,5.149,3.979
76430,loves,5.049,4.169
76428,loves,5.089,4.189
76426,loves,4.689,4.189
76424,loves,5.189,3.989
76420,loves,4.779,4.389
76410,loves,4.689,4.089
76408,loves,5.389,4.189
76406,loves,5.249,3.989
76404,loves,4.789,4.189
76400,loves,5.289,4.089
76398,loves,5.089,4.089
76396,loves,4.989,4.089
76392,loves,4.989,4.089
76390,loves,4.589,4.189
76384,loves,5.089,3.949
76382,loves,5.249,4.089
76380,loves,4.989,4.189
76378,loves,4.849,4.189
76374,loves,5.489,4.119
76370,loves,5.389,4.089
76368,loves,4.889,4.189
76366,loves,5.389,4.149
76364,loves,4.849,4.289
76362,loves,5.089,4.289
76360,loves,5.089,3.989
76354,loves,4.889,4.189
76352,loves,6.289,4.289
76348,loves,4.689,4.149
76344,loves,4.749,4.389
76342,loves,5.189,4.389
76338,loves,5.149,4.289
76336,loves,5.189,4.289
76334,loves,4.469,4.289
76324,loves,4.989,4.089
76320,loves,5.389,4.289
76316,loves,5.289,4.089
76314,loves,4.739,3.989
76310,loves,4.689,4.089
76304,loves,5.249,4.589
76302,loves,5.089,4.249
76300,loves,5.289,4.289
76296,loves,5.439,4.289
76292,loves,4.589,4.149
76290,loves,4.649,4.089
76288,loves,4.949,4.249
76286,loves,4.949,4.189
76281,loves,5.249,4.189
76275,loves,4.989,4.089
76271,loves,5.349,4.189
76269,loves,4.989,4.189
76263,loves,5.149,4.189
76259,loves,5.199,4.199
76253,loves,4.949,4.269
76249,loves,4.689,4.149
76247,loves,4.899,4.089
76245,loves,5.089,4.289
76243,loves,5.449,4.089
76237,loves,4.889,4.189
76235,loves,5.089,4.189
76231,loves,4.549,4.289
76226,loves,6.249,4.189
76224,loves,5.189,4.089
76222,loves,4.889,4.189
76220,loves,4.849,3.989
76214,loves,5.389,4.089
76212,loves,5.189,4.489
76210,loves,4.989,4.349
76207,loves,4.989,4.189
76205,loves,4.849,4.289
76199,loves,5.089,4.089
76197,loves,5.089,4.089
76195,loves,5.489,4.149
76191,loves,4.949,4.249
76189,loves,5.489,4.289
76187,loves,4.689,4.149
76183,loves,5.049,4.189
76179,loves,5.249,4.249
76175,loves,4.989,4.189
76171,loves,5.089,4.089
76169,loves,4.849,4.189
76167,loves,5.189,4.189
76160,loves,5.089,4.249
76155,loves,4.989,4.189
76151,loves,4.689,3.989
76149,loves,5.249,4.089
76147,loves,5.189,4.089
76145,loves,4.949,4.089
76143,loves,4.749,4.389
76141,loves,5.289,4.089
76137,loves,5.149,4.189
76133,loves,5.049,4.249
76131,loves,4.749,4.189
76127,loves,4.889,3.989
76125,loves,4.549,4.249
76121,loves,5.389,4.189
76111,loves,6.289,3.989
76109,loves,5.149,4.289
76105,loves,5.189,4.169
76101,loves,4.689,4.149
76099,loves,5.149,4.189
76097,loves,4.989,4.089
76093,loves,5.289,4.089
76089,loves,5.389,4.189
76087,loves,5.189,4.289
76085,loves,5.089,4.089
76083,loves,5.289,4.089
76081,loves,4.829,4.289
76077,loves,4.949,4.189
76066,loves,5.389,4.189
76059,loves,4.949,4.089
76056,loves,4.889,4.189
76054,loves,5.049,4.289
76050,loves,4.849,4.149
76046,loves,5.289,4.089
74423,loves,5.049,4.189
74421,loves,4.849,3.989
74419,loves,4.889,4.089
74417,loves,4.749,4.189
74415,loves,4.889,4.189
74413,loves,4.849,4.189
74411,loves,4.849,4.189
74409,loves,4.849,4.289
74407,loves,4.989,4.189
74405,loves,4.749,4.189
74403,loves,4.949,4.289
74401,loves,5.089,4.249
74399,loves,4.949,4.289
74397,loves,4.689,4.189
74395,loves,4.989,4.189
74393,loves,4.899,4.289
74391,loves,4.849,4.189
74389,loves,4.689,4.189
74387,loves,4.489,4.289
74385,loves,4.749,4.189
74383,loves,4.589,4.289
74381,loves,4.689,4.089
74379,loves,4.889,4.189
74377,loves,4.849,4.189
74375,loves,4.789,4.189
